고객ID ,데이터셋 구분,보험사기자여부,성별,연령,주택가격,거주TYPE,FP경력,고객등록년월,시도구분,직업그룹코드1,직업그룹코드2,납입총보험료,신용등급(최소),신용등급(최대),결혼여부,배우자직업그룹코드1,배우자직업그룹코드2,자녀수,막내자녀연령,최대보험료연월,최대보험료,고객추정소득,추정가구소득1,추정가구소득2
19,1,N,1,64,15833,20,N,199911,경기,2.자영업,자영업,11323581,6,6,Y,1.주부,주부,1,34,199907,300000,,5075,6120
20,1,N,1,57,28888,20,N,200003,경기,2.자영업,자영업,52994443,6,6,Y,5.서비스,3차산업 종사자,2,23,201203,130000,6024,9441,9481
21,1,N,2,63,8802,11,N,200011,경북,1.주부,주부,13105235,,,Y,,,2,29,200708,112749,,3973,3922
22,1,N,2,51,4309,12,Y,200102,경기,2.자영업,3차산업 종사자,56516442,6,99,Y,2.자영업,자영업,2,22,201208,466370,3825,5206,10174
23,1,N,1,81,7813,40,N,200102,대구,5.서비스,3차산업 종사자,7282800,,,Y,5.서비스,3차산업 종사자,0,0,201508,60690,,1274,1379
24,1,N,2,58,1471,11,N,200103,부산,2.자영업,자영업,69535310,6,6,Y,3.사무직,사무직,1,35,200409,588610,3794,4534,9050
25,1,N,2,49,30000,20,N,200103,경기,1.주부,주부,50382067,6,99,Y,5.서비스,예체능계 종사자,2,15,200610,2191266,0,7591,5323
26,1,Y,2,55,15555,20,Y,200104,광주,2.자영업,3차산업 종사자,110828477,,,Y,2.자영업,자영업,2,28,200103,1957263,3866,6381,9091
27,1,N,1,55,36111,20,N,200104,서울,6.제조업,운전직,17240200,6,6,Y,4.전문직,교사,2,29,200301,202450,5632,10707,10737
28,1,N,1,61,17777,20,N,200105,인천,3.사무직,사무직,210810180,2,99,Y,2.자영업,3차산업 종사자,1,29,201108,2664440,,6889,
29,1,N,2,39,0,,N,200106,울산,3.사무직,공무원,20961533,8,8,Y,5.서비스,2차산업 종사자,3,15,200105,467400,3574,0,7331
30,1,N,2,57,4865,30,N,200106,대구,1.주부,주부,11461734,6,6,Y,8.기타,3차산업 종사자,0,0,200010,200000,0,3998,3921
31,1,N,2,54,10683,99,N,200106,부산,2.자영업,자영업,35723494,,,Y,,,2,27,200305,298100,4688,0,4688
32,1,N,2,52,15194,99,Y,200106,서울,1.주부,주부,38109169,6,6,Y,5.서비스,3차산업 종사자,4,22,200208,918350,0,0,4909
33,1,N,2,47,8888,20,N,200107,경남,8.기타,단순 노무직,16398268,6,6,Y,2.자영업,자영업,1,22,200002,304417,2858,0,9147
34,1,N,2,49,18888,20,N,200107,대구,1.주부,주부,19827388,,,Y,5.서비스,2차산업 종사자,2,17,200402,101680,0,0,5369
35,1,N,1,51,34631,20,N,200107,서울,5.서비스,2차산업 종사자,32935106,6,99,Y,1.주부,주부,2,23,200911,434539,5557,9811,5557
36,1,N,1,47,6569,99,N,200107,전남,7.1차산업,1차산업 종사자,37102242,,,N,,,0,0,201009,211030,3560,0,3560
37,2,,2,46,14027,20,N,200107,경북,1.주부,주부,53761263,,,Y,3.사무직,사무직,2,19,200302,442430,0,5923,5384
38,1,N,2,40,13427,40,N,200108,서울,1.주부,주부,39052796,,,Y,2.자영업,자영업,2,17,200511,387659,0,5233,4559
39,1,N,2,46,8147,40,N,200108,경기,1.주부,주부,28755148,6,8,Y,6.제조업,운전직,2,8,200903,198400,0,4168,4709
40,1,N,1,53,7916,20,N,200108,전북,3.사무직,사무직,23070333,6,6,Y,1.주부,주부,2,22,201510,239603,4737,5426,4737
41,1,N,2,48,15311,40,N,200108,서울,1.주부,주부,15284369,6,6,Y,8.기타,단순 노무직,2,19,200102,370911,0,6169,3161
42,1,N,2,55,10000,30,Y,200108,경기,1.주부,주부,14661864,,,Y,3.사무직,사무직,1,35,200007,190250,0,5753,5735
43,1,N,2,41,27777,20,N,200108,경남,5.서비스,3차산업 종사자,23479401,,,Y,6.제조업,2차산업 종사자,1,18,200603,156900,3748,8206,7237
44,1,N,2,61,9861,20,N,200108,대전,1.주부,주부,22399454,,,Y,3.사무직,사무직,1,33,200808,285722,,4365,4326
45,1,N,2,58,10555,20,N,200108,경기,5.서비스,3차산업 종사자,59479946,6,6,Y,6.제조업,2차산업 종사자,2,27,200203,1153370,3706,5556,5520
46,1,N,2,62,6666,20,N,200109,전북,5.서비스,3차산업 종사자,46508529,6,6,Y,5.서비스,2차산업 종사자,0,0,201107,250850,,3745,3953
47,1,N,2,49,10441,99,Y,200109,경기,1.주부,주부,25637391,7,8,Y,8.기타,단순 노무직,3,18,200302,559850,0,0,3175
48,1,N,2,42,20416,20,Y,200109,경기,2.자영업,자영업,58480871,10,99,Y,3.사무직,사무직,4,13,200608,587716,3657,5392,8201
49,1,N,2,58,15015,11,N,200109,경기,1.주부,주부,168252203,6,6,Y,4.전문직,전문직,0,0,200312,1055621,0,5867,5799
50,1,N,2,63,9189,99,N,200109,인천,1.주부,주부,89310615,6,7,Y,7.1차산업,1차산업 종사자,1,34,200304,1442900,,0,0
51,2,,2,48,26250,20,Y,200110,대구,2.자영업,3차산업 종사자,162758082,6,99,Y,3.사무직,사무직,1,20,201601,2099765,4798,9717,10710
52,1,N,1,50,26944,20,N,200110,인천,5.서비스,2차산업 종사자,8355309,3,99,Y,1.주부,주부,2,24,199807,42000,5755,7136,10026
53,1,N,1,72,12222,20,N,200110,서울,8.기타,기타,29793646,,,N,,,0,0,200305,752813,,1534,1534
54,1,Y,2,52,5833,20,Y,200111,전남,1.주부,주부,4670372,,,Y,,,1,21,200509,38900,0,5126,5141
55,1,N,2,55,4027,30,Y,200111,경남,2.자영업,3차산업 종사자,41070351,6,99,Y,,,1,28,201403,986841,3953,5006,3953
56,1,Y,2,57,7271,11,N,200111,광주,2.자영업,자영업,136720853,6,6,Y,2.자영업,자영업,0,0,201505,1242454,4911,5408,5677
57,1,N,2,49,0,,Y,200112,경기,6.제조업,2차산업 종사자,88277470,6,6,Y,6.제조업,운전직,2,21,201108,1034374,3314,0,7988
58,1,N,2,79,25833,20,N,200112,부산,1.주부,주부,5958728,,,N,,,0,0,200305,39667,,2619,2621
59,1,N,2,44,14542,99,N,200112,서울,5.서비스,3차산업 종사자,40099583,6,6,N,,,0,0,200301,472900,3949,0,3949
60,2,,1,51,6707,12,N,200112,경기,3.사무직,2차산업 종사자,13323745,6,8,N,,,0,0,200210,197750,5126,5406,5126
61,1,N,1,38,8888,20,N,200112,경기,6.제조업,운전직,15475047,7,7,N,,,0,0,201207,175630,4208,3478,4208
62,1,N,1,47,19444,20,N,200201,경기,3.사무직,사무직,21350056,,,Y,2.자영업,자영업,2,15,200207,239345,5000,6152,10951
63,1,Y,2,51,12326,12,Y,200201,부산,8.기타,3차산업 종사자,33991326,,,Y,3.사무직,사무직,4,26,200208,293493,2984,6122,8145
64,1,N,2,60,50972,20,N,200203,서울,2.자영업,자영업,133381160,6,8,Y,2.자영업,자영업,1,33,201406,1564160,5616,0,5754
65,2,,1,46,1603,13,N,200203,경북,6.제조업,운전직,5858640,6,6,Y,1.주부,주부,3,13,200305,49150,3660,4900,3660
66,1,Y,2,49,13333,20,N,200203,광주,5.서비스,3차산업 종사자,12386724,9,9,Y,3.사무직,기업/단체 임원,3,18,200208,371950,3187,3955,7527
67,1,N,2,43,0,,N,200203,경남,4.전문직,교육관련직,117113523,1,99,Y,2.자영업,자영업,2,12,201511,3490955,5512,0,10700
68,1,N,2,47,30000,20,N,200205,경기,6.제조업,2차산업 종사자,102701437,4,99,Y,3.사무직,사무직,2,17,200306,1507852,4159,7652,9615
69,1,N,2,52,6291,12,N,200205,인천,2.자영업,자영업,116980784,8,8,Y,6.제조업,2차산업 종사자,2,27,201107,3132250,6034,5340,11319
70,1,N,1,63,3638,11,N,200206,전북,2.자영업,자영업,80557731,6,7,Y,2.자영업,3차산업 종사자,3,23,200305,631970,,3491,4268
71,1,N,2,55,0,,N,200207,부산,5.서비스,2차산업 종사자,25394528,6,6,Y,5.서비스,2차산업 종사자,1,27,200802,334716,3305,0,7094
72,1,N,2,61,8055,20,N,200207,경남,1.주부,주부,29579013,6,6,Y,5.서비스,3차산업 종사자,0,0,200807,222503,,5559,5512
73,2,,2,49,6250,30,N,200207,인천,5.서비스,3차산업 종사자,91802397,6,7,Y,6.제조업,2차산업 종사자,2,22,201002,799231,4279,4921,8695
74,1,N,2,45,9305,20,N,200208,경기,1.주부,주부,11726715,6,6,Y,3.사무직,사무직,1,17,200305,91580,0,3962,4211
75,1,N,2,51,7092,12,N,200208,부산,2.자영업,자영업,35031840,,,Y,6.제조업,운전직,0,0,201103,255155,4351,5472,8065
76,1,N,1,53,9861,30,N,200208,인천,5.서비스,3차산업 종사자,26886714,,,Y,1.주부,주부,3,21,199909,511900,4096,5969,4096
77,1,N,2,58,2704,13,N,200208,부산,5.서비스,3차산업 종사자,25697202,,,N,,,0,0,200401,327397,3458,4731,3458
78,1,N,2,52,8611,20,N,200209,충북,4.전문직,사무직,20066022,6,6,Y,3.사무직,사무직,2,22,200906,388682,4749,5867,10022
79,1,Y,2,59,11409,99,N,200209,인천,1.주부,주부,19310189,,,Y,4.전문직,교사,2,30,201011,166601,0,0,5079
80,1,N,2,66,4722,30,N,200210,강원,8.기타,기타,25848033,6,6,Y,6.제조업,운전직,0,0,200603,217670,,2666,2657
81,1,N,2,53,10277,20,N,200210,서울,1.주부,주부,19065255,,,Y,2.자영업,자영업,1,18,200501,127770,0,4700,4895
82,1,N,2,51,2196,13,Y,200210,경남,1.주부,주부,22807201,,,Y,,,2,28,200208,617900,0,4694,4694
83,1,N,2,63,0,11,N,200210,전남,8.기타,단순 노무직,117742024,6,6,Y,8.기타,기타,0,0,201103,1013719,,0,3545
84,1,N,2,67,5689,99,Y,200210,광주,1.주부,주부,38544420,,,N,,,0,0,201002,473969,,0,0
85,1,N,2,57,28888,20,Y,200211,서울,1.주부,주부,23891047,7,8,Y,4.전문직,전문직,2,29,200006,437600,0,7466,7328
86,1,Y,2,45,14456,99,N,,,,,17839198,6,6,,,,,,200408,292186,,0,
87,1,N,2,56,8601,11,N,200211,제주,5.서비스,3차산업 종사자,57382549,7,8,Y,7.1차산업,1차산업 종사자,0,0,201210,979025,3565,5340,7271
88,1,N,2,73,5281,11,Y,198110,경북,8.기타,기타,11233163,,,N,,,0,0,200105,95249,,2866,2842
89,1,N,2,69,7338,12,Y,199703,경기,3.사무직,사무직,14150907,,,Y,5.서비스,2차산업 종사자,0,0,200307,27640,,1908,2463
90,1,N,2,69,2167,12,Y,200111,광주,2.자영업,3차산업 종사자,265780511,4,99,N,,,0,0,200410,1218829,,2740,2723
91,1,N,2,69,21250,30,Y,199205,서울,1.주부,주부,27594184,,,Y,3.사무직,사무직,0,0,200009,44470,,2572,3186
92,1,Y,2,68,2842,12,Y,199903,충북,1.주부,주부,106661466,7,7,N,,,0,0,200010,2723795,,2714,2705
93,1,N,2,68,7777,20,Y,199909,전북,5.서비스,3차산업 종사자,38454466,,,Y,3.사무직,사무직,1,35,200008,1230326,,2583,2583
94,1,N,2,68,3949,12,Y,199904,서울,1.주부,주부,50756594,,,N,,,0,0,199806,387900,,3527,3501
95,1,N,2,66,6666,20,Y,198304,경북,8.기타,기타,26667196,4,6,Y,4.전문직,공무원,0,0,201309,505368,,3567,3771
96,1,N,2,65,8611,20,Y,199809,경기,2.자영업,3차산업 종사자,205180448,6,8,Y,5.서비스,2차산업 종사자,1,26,200203,1752530,,3323,
98,1,N,2,64,0,,Y,199206,인천,1.주부,주부,49923496,6,6,Y,8.기타,2차산업 종사자,0,0,201508,400000,,0,8684
99,1,N,2,63,1589,11,Y,198208,전남,1.주부,주부,199009356,6,6,N,,,0,0,200811,1368844,,3247,3226
100,1,N,2,62,4081,13,N,200209,경기,2.자영업,자영업,18707651,4,6,Y,2.자영업,자영업,0,0,200909,88830,,3354,4689
101,2,,2,62,16944,20,Y,198707,울산,1.주부,주부,22797444,,,N,,,0,0,200404,156640,,8165,7905
102,1,N,2,62,8750,20,Y,199604,서울,8.기타,기타,175567836,6,6,Y,5.서비스,2차산업 종사자,0,0,201001,1458131,,3067,2941
103,1,N,2,62,32222,20,Y,198406,경북,5.서비스,2차산업 종사자,36743778,,,N,,,0,0,200001,343200,,10768,10542
104,1,N,2,62,7778,12,Y,198904,인천,6.제조업,2차산업 종사자,44543318,,,Y,6.제조업,2차산업 종사자,1,35,200908,357780,,0,0
105,1,N,2,61,17222,20,Y,199306,인천,1.주부,주부,34918955,5,6,Y,6.제조업,운전직,1,35,200805,225144,,6420,6420
106,2,,2,61,9305,30,Y,200202,경기,5.서비스,3차산업 종사자,78031083,6,6,Y,5.서비스,2차산업 종사자,2,20,201011,1509326,,4532,6662
107,1,Y,2,61,23617,11,Y,198410,경기,1.주부,주부,1762800,,,N,,,0,0,200006,144300,,6352,5904
108,1,N,2,60,0,,N,199910,충남,4.전문직,교사,226268870,6,6,N,,,0,0,201307,2238280,5660,0,5660
109,1,N,2,60,88333,20,Y,198906,인천,1.주부,주부,14727510,8,8,Y,,,1,26,201606,59700,0,12904,12949
110,1,N,2,60,7683,11,Y,198606,경북,1.주부,주부,66700377,2,99,Y,6.제조업,2차산업 종사자,1,34,201205,515322,0,4950,4857
111,1,N,2,59,6441,40,Y,199107,경북,2.자영업,자영업,268123695,2,99,Y,8.기타,기타,2,32,200904,2027760,5177,4849,5177
112,1,N,2,59,11944,30,N,200202,경기,1.주부,주부,21037203,6,8,Y,3.사무직,사무직,1,34,200901,663302,0,4750,4750
113,1,N,2,59,2263,99,Y,200202,전남,1.주부,주부,71465789,10,99,Y,7.1차산업,1차산업 종사자,2,32,200303,642180,0,0,0
114,1,N,2,58,10177,11,Y,198911,광주,4.전문직,3차산업 종사자,10225187,6,6,Y,8.기타,1차산업 종사자,0,0,200910,43300,3706,5676,5738
115,1,N,2,58,4816,12,Y,198302,제주,1.주부,주부,35507360,,,Y,7.1차산업,1차산업 종사자,2,30,201512,445205,0,4532,4073
116,2,,2,58,10710,11,Y,198502,대구,5.서비스,3차산업 종사자,15678001,1,99,Y,8.기타,단순 노무직,2,29,201602,421977,3056,5790,5786
117,1,N,2,57,16111,20,Y,199409,경기,4.전문직,사무직,105557022,,,Y,2.자영업,자영업,2,27,200307,566162,4370,6341,6400
118,1,N,2,57,8832,12,Y,200007,경기,5.서비스,3차산업 종사자,59729609,6,6,Y,,,2,27,200305,536800,3382,5402,3382
119,1,N,2,57,6944,30,Y,200010,경기,4.전문직,전문직,13173202,7,7,N,,,0,0,200110,445650,3598,4831,3598
120,1,N,2,57,6805,20,Y,199108,전남,1.주부,주부,84866703,6,6,Y,3.사무직,단순 사무직,2,30,200303,582000,0,4880,4069
121,1,N,2,56,10277,30,Y,199011,서울,2.자영업,자영업,78923648,,,Y,2.자영업,자영업,1,35,201301,988817,5009,5391,5565
122,1,N,2,56,8968,40,Y,199602,경기,5.서비스,3차산업 종사자,50143022,,,Y,5.서비스,2차산업 종사자,2,30,200405,158500,3470,5154,7814
123,2,,2,56,9722,20,Y,198808,경남,1.주부,주부,29727858,,,Y,3.사무직,사무직,3,23,200404,327035,0,6672,4384
124,1,N,2,56,23888,20,Y,200007,부산,1.주부,주부,25681232,,,Y,6.제조업,2차산업 종사자,2,31,200807,370228,0,9147,5252
125,2,,2,56,2029,13,Y,200102,강원,1.주부,주부,47081790,,,Y,3.사무직,사무직,2,32,200109,1072410,0,4427,4089
126,1,Y,2,55,15416,20,Y,199106,경남,5.서비스,3차산업 종사자,11433036,7,7,Y,,,2,27,201112,248708,3487,7882,3487
127,1,N,2,55,4544,13,Y,198708,대구,1.주부,주부,130538208,6,6,Y,5.서비스,2차산업 종사자,2,22,201303,1447443,0,5066,4212
128,1,N,2,55,4027,30,Y,200206,경기,2.자영업,자영업,50502716,10,9,Y,,,2,32,200908,1396143,5924,5063,5924
129,1,N,2,55,28586,12,Y,200204,경기,8.기타,3차산업 종사자,33299259,,,Y,3.사무직,사무직,2,20,200304,599400,4117,0,9989
130,1,N,2,54,0,,Y,,,,,7464000,,,,,,,,200804,368100,,0,
131,1,N,2,54,5972,30,Y,199306,제주,7.1차산업,1차산업 종사자,300330990,6,6,Y,7.1차산업,1차산업 종사자,3,26,200910,4852651,5667,5895,9967
132,1,N,2,54,28888,20,Y,199202,경기,5.서비스,3차산업 종사자,235492914,1,99,Y,6.제조업,운전직,1,32,200705,1894930,3901,10341,10368
133,1,N,2,53,7500,30,Y,200005,경기,1.주부,주부,61460135,2,6,Y,4.전문직,공무원,0,0,200207,880704,0,5254,4741
134,1,N,2,51,11615,40,Y,199205,대구,5.서비스,2차산업 종사자,102824796,5,99,Y,6.제조업,운전직,1,28,200406,940064,3242,6580,6819
135,1,N,2,51,8874,12,Y,199610,경기,4.전문직,의료직 종사자,102641830,1,99,Y,2.자영업,자영업,2,24,200301,998096,3225,5553,7985
136,1,N,2,51,11527,20,Y,199606,강원,4.전문직,의료직 종사자,21165546,,,Y,3.사무직,공무원,2,24,200709,148790,3608,0,8427
137,2,,1,51,14305,20,N,200203,경기,5.서비스,2차산업 종사자,19713877,2,6,Y,5.서비스,3차산업 종사자,2,21,201301,100000,4778,4542,8654
138,1,N,2,50,28055,20,Y,200202,서울,2.자영업,3차산업 종사자,27045096,,,Y,3.사무직,사무직,2,22,200408,681958,4938,8400,10952
139,2,,1,50,17222,30,N,199912,서울,5.서비스,2차산업 종사자,22220540,,,N,,,0,0,200004,1000000,5047,6646,5047
140,1,N,2,48,11111,30,Y,199207,경기,2.자영업,자영업,32069499,6,6,Y,6.제조업,운전직,2,23,200305,344600,4326,6436,8283
141,1,N,2,48,6527,30,Y,199608,부산,5.서비스,3차산업 종사자,86245013,6,7,Y,6.제조업,2차산업 종사자,2,14,201306,977399,5341,3300,9845
142,1,Y,2,48,13333,20,Y,199411,경기,1.주부,주부,37909281,,,Y,5.서비스,2차산업 종사자,2,21,200403,156639,0,6324,4350
143,1,N,2,48,10833,30,Y,199504,서울,2.자영업,3차산업 종사자,460688668,5,99,Y,5.서비스,3차산업 종사자,2,18,200107,2206722,4952,5588,8924
144,1,N,2,48,29305,20,Y,199902,경기,3.사무직,사무직,21557368,,,Y,2.자영업,자영업,2,21,199910,194500,4389,6610,10217
145,1,Y,2,48,16856,40,Y,199509,서울,2.자영업,자영업,140698549,8,8,Y,3.사무직,사무직,3,20,200202,1230875,5302,6850,10550
146,1,N,2,46,11111,20,Y,200202,전북,1.주부,주부,35589899,6,6,Y,8.기타,단순 노무직,2,21,201501,546899,0,4572,4690
147,1,N,2,46,10920,99,Y,200012,경기,2.자영업,3차산업 종사자,104219725,6,6,Y,,,1,12,200404,1099100,3713,0,3713
148,1,N,2,45,2880,13,Y,199505,경기,5.서비스,3차산업 종사자,5734154,7,8,Y,4.전문직,사무직,2,20,201509,475324,2721,2993,6997
149,1,N,2,43,13141,20,Y,199603,울산,1.주부,주부,2567269,6,6,N,,,0,0,201212,207358,0,4111,0
151,1,N,2,43,14305,30,Y,199909,서울,1.주부,주부,43077725,8,8,Y,4.전문직,3차산업 종사자,1,22,200202,621372,0,6476,4621
152,1,N,2,41,53888,20,N,200003,경기,3.사무직,사무직,17750399,6,6,N,,,0,0,200104,350000,5006,10995,5006
153,1,N,2,40,0,,Y,199612,전남,1.주부,주부,22452762,6,8,Y,8.기타,단순 노무직,1,7,201602,392665,0,0,4269
154,1,N,2,40,14027,20,Y,199810,강원,1.주부,주부,110700,6,6,Y,4.전문직,종교인/역술인,0,0,199812,42100,0,0,3219
155,1,N,2,43,14166,30,Y,200211,경기,2.자영업,3차산업 종사자,43574820,6,6,Y,3.사무직,사무직,1,19,201206,540864,3620,4918,8500
156,1,N,1,46,7638,20,N,200212,전북,5.서비스,2차산업 종사자,37064921,6,6,N,,,0,0,200305,329500,4836,4018,4836
157,1,N,1,54,8208,99,N,200212,대구,4.전문직,공무원,54980259,1,99,Y,4.전문직,3차산업 종사자,2,20,201509,544392,4877,0,7902
158,1,N,2,47,15277,20,N,200212,대구,2.자영업,자영업,115052286,,,Y,2.자영업,자영업,2,20,200611,1085834,4981,4163,9509
159,1,N,2,52,7603,11,N,200301,경기,5.서비스,3차산업 종사자,11799054,,,Y,2.자영업,자영업,2,21,200305,100000,4002,5423,9161
160,1,N,2,46,4027,30,N,200302,부산,1.주부,주부,5796710,,,N,,,0,0,201402,29800,0,0,0
161,2,,1,51,2638,20,N,200302,전남,6.제조업,운전직,30103010,6,6,Y,1.주부,주부,1,19,200302,1204700,4992,4568,4992
162,1,Y,2,62,7623,12,N,200302,서울,1.주부,주부,8859190,,,Y,2.자영업,자영업,0,0,200712,53530,,4597,4549
163,1,N,1,48,12916,20,N,200303,부산,6.제조업,운전직,26548407,,,Y,1.주부,주부,2,24,200506,155700,4812,4843,4812
164,1,N,2,47,2476,11,N,200304,경남,1.주부,주부,55237237,8,8,Y,6.제조업,2차산업 종사자,2,21,200712,771994,0,4946,3476
165,1,N,2,66,6666,30,N,200304,부산,5.서비스,의료직 종사자,44599570,,,Y,6.제조업,운전직,0,0,200409,277939,,2849,3010
166,1,N,2,54,19861,20,N,200305,충북,4.전문직,교사,105409406,6,6,Y,4.전문직,교육관련직,2,24,201112,507309,5210,10074,10378
167,1,N,1,66,18308,40,N,200305,서울,2.자영업,자영업,168846676,6,6,Y,5.서비스,3차산업 종사자,2,32,200309,217200,,3363,
168,1,N,2,52,4609,12,N,200305,충북,1.주부,주부,,7,8,N,,,0,0,200402,161200,0,4959,4971
169,1,N,1,69,19444,20,N,200305,광주,7.1차산업,1차산업 종사자,12372648,3,6,Y,1.주부,주부,1,33,200807,248942,,5107,7163
205,1,N,2,85,55555,20,N,,,,,1729850,,,,,,,,200305,14500,,7127,
206,1,N,1,85,11818,40,N,200306,전북,2.자영업,자영업,27594800,,,Y,1.주부,주부,0,0,200008,316450,,1516,1545
207,1,N,2,83,9055,99,N,200306,경북,2.자영업,자영업,1700876,,,N,,,0,0,200306,28400,,0,0
208,1,N,2,82,1966,13,N,200306,전북,1.주부,주부,1659104,,,N,,,0,0,200305,13900,,1279,1268
210,1,N,2,81,18098,11,N,200303,경북,8.기타,기타,6095040,,,N,,,0,0,201507,50792,,0,0
211,1,N,1,80,3946,40,N,,,,,3523480,,,,,,,,200305,29500,,1402,
212,1,N,2,80,9444,30,N,,,,,5622009,,,,,,,,200305,13900,,1365,
213,1,N,2,79,15000,30,N,200306,경기,8.기타,기타,38706064,,,Y,8.기타,단순 노무직,0,0,200305,111085,,1630,1666
214,1,N,2,79,0,,N,,,,,1789500,,,,,,,,200305,15000,,0,
216,1,N,2,77,11776,99,N,200306,부산,1.주부,주부,24858168,,,,,,,,200304,13158,,0,0
217,1,N,2,77,3360,30,N,,,,,1295500,,,,,,,,200208,21592,,1253,
218,1,N,2,77,3711,12,N,200306,인천,8.기타,기타,20741427,,,N,,,0,0,200305,324900,,1497,1488
219,1,N,1,76,4077,40,N,200306,충북,8.기타,기타,18544722,,,Y,1.주부,주부,0,0,200305,50050,,1514,1625
220,1,N,2,76,2451,13,N,200306,경남,8.기타,기타,15098742,6,6,N,,,0,0,200305,102648,,1478,1477
221,1,N,2,76,10833,20,N,200306,경남,1.주부,주부,12251817,,,N,,,0,0,200109,109759,,1744,1744
222,1,N,2,76,31666,20,N,200306,경기,1.주부,주부,13657262,,,N,,,0,0,200305,88100,,3468,3468
224,1,N,2,76,19777,11,N,200306,경기,7.1차산업,1차산업 종사자,5532600,5,99,Y,7.1차산업,1차산업 종사자,0,0,200103,333800,,1970,0
227,1,N,1,75,22777,20,N,200306,인천,8.기타,기타,6906630,,,N,,,0,0,200306,57960,,3393,3572
228,1,N,2,75,12083,20,N,200306,경기,8.기타,기타,27800,8,8,N,,,0,0,199903,61550,,1781,1858
229,1,N,1,75,0,,N,200306,서울,6.제조업,운전직,2413963,,,Y,1.주부,주부,0,0,200305,20250,,0,0
231,1,N,1,75,17777,20,N,200306,경기,5.서비스,2차산업 종사자,11716083,,,N,,,0,0,200305,98100,,1985,2036
234,1,N,1,75,5237,11,N,200306,전북,7.1차산업,1차산업 종사자,2782353,,,Y,1.주부,주부,0,0,200305,379650,,1705,2260
235,1,N,2,75,19958,30,N,200306,서울,2.자영업,자영업,70950316,6,6,Y,2.자영업,자영업,0,0,200708,1006802,,2372,6145
236,1,N,1,75,9027,30,N,200306,경기,2.자영업,자영업,28590633,7,7,N,,,0,0,200708,541372,,1647,1634
237,1,N,2,75,4225,13,N,200306,서울,8.기타,기타,380727549,6,6,Y,2.자영업,자영업,0,0,200608,1094378,,1375,1558
238,1,N,2,74,8634,12,N,,,,,15333003,,,,,,,,200305,128500,,1520,
239,2,,2,74,9444,20,N,200306,광주,1.주부,주부,5088559,,,N,,,0,0,200305,42700,,1854,1818
241,2,,2,74,1935,12,N,200306,부산,1.주부,주부,6390592,,,N,,,0,0,200305,83200,,1428,1422
242,1,N,2,74,4179,13,N,200306,경기,8.기타,기타,32231742,,,N,,,0,0,200212,419474,,1588,1571
244,1,N,2,74,29027,20,N,200306,경기,1.주부,주부,7246366,,,N,,,0,0,200305,60700,,3255,3255
245,1,N,2,74,9041,11,N,200306,전북,1.주부,주부,11607092,6,6,Y,3.사무직,사무직,0,0,200611,57150,,1937,1973
